FECHA_CORTE;FECHA_MUESTRA;CUENTA;ESTACION;UNIDAD_MEDIDA;TIPO_ESTACION;DEPARTAMENTO;PROVINCIA;DISTRITO;Provincia_Distrito;UBIGEO;CAUDAL07H;PROMEDIO24H;MAXIMA24H;PRECIP24H
20221106;2022/11/03;PRESA EJIDOS;PTE. SANCHEZ CERRO;m3/s;HIDROLOGICA;Piura;Piura ;Castilla;Piura /Castilla;200104;0.5;0.5;0.5;0
20221106;2022/11/03;PRESA EJIDOS;COTE EMBALSE;msnm;PRESA;Piura;Piura ;Castilla;Piura /Castilla;200104;29.39;0;29.38;0
20221106;2022/11/03;RIO PIURA;EL PAPAYO;m3/s;HIDROLOGICA;Piura;Piura ;Castilla;Piura /Castilla;200104;0;0;0;0
20221106;2022/11/03;RIO PIURA;TAMBOGRANDE;m3/s;HIDROLOGICA;Piura;Piura ;Tambo Grande;Piura /Tambo Grande;200114;0;0;0;0
20221106;2022/11/03;RIO PIURA;PTE. nACARA;m3/s;HIDROMETRICA;Piura;MorropOn ;Chulucanas;MorropOn /Chulucanas;200401;0;0;0;0
20221106;2022/11/03;PRESA SULLANA;CANAL NORTE;m3/s;HIDROLOGICA;Piura;Sullana ;Sullana;Sullana /Sullana;200601;18.3;18.3;0;0
20221106;2022/11/03;PRESA SULLANA;RIO CHIRA(SULLANA);m3/s;HIDROLOGICA;Piura;Sullana ;Sullana;Sullana /Sullana;200601;5;5;5;0
20221106;2022/11/03;PRESA SULLANA;COTA EMBALSE;msnm;PRESA;Piura;Sullana ;Sullana;Sullana /Sullana;200601;36.99;0;37;0
20221106;2022/11/03;PUNTOS DE CONTROL CD;CURUMUY;m3/s;HIDROMETRICA;Piura;Piura ;Piura;Piura /Piura;200101;0;14.24;0;0
20221106;2022/11/03;PUNTOS DE CONTROL CD;CHECK(KM 29+900);m3/s;HIDROMETRICA;Piura;Sullana ;Sullana;Sullana /Sullana;200601;22.9;23.7;24.6;0
20221106;2022/11/03;SALIDA DE RESERVERIO;TOTAL SALIDA;m3/s;PRESA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0;52.12;0;0
20221106;2022/11/03;SALIDA DE RESERVERIO;EVAPORACION;m3/s;PRESA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0;3.5;0;0
20221106;2022/11/03;SALIDA DE RESERVERIO;C. HUAYPIRA;m3/s;HIDROMETRICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0.42;0.41;0.42;0
20221106;2022/11/03;SALIDA DE RESERVERIO;C. DERIVACION;m3/s;HIDROMETRICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;33.5;34.28;36.5;0
20221106;2022/11/03;SALIDA DE RESERVERIO;C. MIGUEL CHECA;m3/s;HIDROMETRICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;8.93;8.93;9;0
20221106;2022/11/03;SALIDA DE RESERVERIO;TOTAL RIO CHIRA;m3/s;HIDROLOGICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0;5;27.07;0
20221106;2022/11/03;SALIDA DE RESERVERIO;RIO CHIRA - TUNEL;m3/s;HIDROLOGICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0;5;27.07;0
20221106;2022/11/03;SALIDA DE RESERVERIO;RIO CHIRA - ALIVIADERO;m3/s;HIDROLOGICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0;0;0;0
20221106;2022/11/03;RESERVORIO POECHOS;INCREMENTO VOL;mmc;PRESA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0;-3.2;0;0
20221106;2022/11/03;RESERVORIO POECHOS;VOLUMEN;mmc;PRESA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;229.6;0;232.8;0
